Ff_Number,So_Number,Order_Reference,Channel,Order_Created_Date,Warehouse,Planned_Date,Carrier,Sku,Sku_Name,Quantity
FF5179887,SO5752500,US890190,Shopify USA,2026-06-19 04:31:48.329540+00:00,Stord (US),2026-06-19,Stord,WCR2554,Deo Refill: Winter Breeze,1.0
FF5179992,SO5752601,US890300,Shopify USA,2026-06-19 04:32:29.374899+00:00,Stord (US),2026-06-19,Stord,WCR2554,Deo Refill: Winter Breeze,1.0
FF5180013,SO5752623,US890312,Shopify USA,2026-06-19 04:32:38.710317+00:00,Stord (US),2026-06-19,Stord,WCR2554,Deo Refill: Winter Breeze,1.0
FF5180318,SO5752928,#5938636,Shopify UK,2026-06-19 06:25:56.275715+00:00,Airbox (EU),2026-06-19,Airbox,WCROC2756,Roll On Case: Forest Green,1.0
FF5180527,SO5753138,2886313,Shopify EU,2026-06-19 07:28:29.103119+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5180527,SO5753138,2886313,Shopify EU,2026-06-19 07:28:29.103119+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCSGC984,Bee Body Wash Case,1.0
FF5180565,SO5753176,2886338,Shopify EU,2026-06-19 07:40:03.243439+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5180798,SO5753407,2886418,Shopify EU,2026-06-19 08:44:09.691923+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5181226,SO5753831,#5938932,Shopify UK,2026-06-19 10:30:15.530381+00:00,Airbox (EU),2026-06-19,Airbox,WCR251,Elderflower & Cucumber - initial_delivery,1.0
FF5181271,SO5753876,2886604,Shopify EU,2026-06-19 10:44:03.786059+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5181311,SO5753916,#5938970,Shopify UK,2026-06-19 10:52:51.768039+00:00,Stord (US),2026-06-19,Stord,WCR3205,Deo Refill: Black Rose and Velvet,1.0
FF5181321,SO5753926,2886626,Shopify EU,2026-06-19 10:54:32.703995+00:00,Airbox (EU),2026-06-19,Airbox,WCR2554,Deo Refill: Winter Breeze,1.0
FF5181393,SO5753998,2886647,Shopify EU,2026-06-19 11:09:24.198699+00:00,Airbox (EU),2026-06-19,Airbox,WCROC3333,Roll On Case: Miffy,1.0
