product/rec_name,from_location/rec_name,to_location/rec_name,quantity,uom/rec_name,planned_date,effective_date,state,tpl_sku
[WMIN549] Cherry Blossom Mini,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WMIN507] Thunderstorm Mini Deodorant,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC747] EB Bees Deo Case,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC1521] EBW Polka Dots Deodorant Case,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC1768] EBW Egg Deo Case,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR794] Honey & Cactus Flower - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR86] Cedar & Sandalwood - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR1103] Vanilla Bean & Buttercream Deo Refill,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3776] Deo Refill: Enchanted Bloom,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3805] Deo Refill: Morning Meadow,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR24] Fresh Cotton & Sea Salt Deodorant Refill,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
"[WSRP3149-US] AMZ US Mini 3: Cot, Coco, Cherry",FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1091] Purple + refill variety pack,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCRS216] Fresh Cotton & Sea Salt - Sensitive - initial_delivery,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC06] Aqua Deodorant Case,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR24] Fresh Cotton & Sea Salt Deodorant Refill,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3805] Deo Refill: Morning Meadow,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC06] Aqua Deodorant Case,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
"[WSRP3149-US] AMZ US Mini 3: Cot, Coco, Cherry",FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCR1179] Coconut Dreams Refill (TARGET),Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR1103] Vanilla Bean & Buttercream Deo Refill,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR794] Honey & Cactus Flower - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1824-US] AMZ Black Full Monty,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCC3773] Deo Case: Disney Princess,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCRS30] Coconut Dreams - Sensitive - initial_delivery,Stord - Storage Zone,Reserved Inventory,2.0,u,2026-06-18,,assigned,
[WCRS550] Cherry BlossomSEN - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCRS216] Fresh Cotton & Sea Salt - Sensitive - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC3295] Deo Case: EBW Ladybird,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCRS3206] Deo Refill: Black Rose and Velvet Sens,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCRS216] Fresh Cotton & Sea Salt - Sensitive - initial_delivery,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCRS550] Cherry BlossomSEN - initial_delivery,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1093] Refill variety pack,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1099] Cherry Blossom Refill Duo,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1486-EU] AMZ EU Deo Pink/Cotton,FBA GE - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
